item_mdrm,item_desc,context_level1_mdrm,context_level1_desc,context_level1_value
GSWAR795,5i Due in more than 10 years,GSWA0001,Short  2,2
GSWAM483,6a Due in less than or equal to 13 months,GSWA0001,Short  2,2
GSWAR797,6b Due in more than 13 months but less than or equal to 5 years,GSWA0001,Short  2,2
GSWAR799,6c Due in more than 5 years but less than or equal to 10 years,GSWA0001,Short  2,2
GSWAR801,6d Due in more than 10 years,GSWA0001,Short  2,2
GSWAM487,6e Variable-rate demand notes,GSWA0001,Short  2,2
GSWAM489,7a Credit card-backed securities,GSWA0001,Short  2,2
GSWAM491,7b Student loan-backed securities,GSWA0001,Short  2,2
GSWAM493,7c Automobile loan-backed securities,GSWA0001,Short  2,2
GSWAM495,7d Other asset-backed securities,GSWA0001,Short  2,2
GSWAM497,8  Total (Lines 1 through 7),GSWA0001,Short  2,2
